gene_id	CL	CR	CO	KI	LI	LU	MG	OV	PA	SP	ST
ENSCAFG00000000087	43.22929297	44.32774627	46.99853921	67.42219988	40.5974632	42.60143522	58.32652581	42.86937855	42.62709893	36.27178502	73.77279256
ENSCAFG00000000088	14.31095683	12.83759843	8.353616505	24.08324313	41.62661217	4.717320775	6.255626176	5.008492066	4.308917112	7.546274039	5.598543365
ENSCAFG00000000089	0	0.009168026	0	0	0	0	0	0	0	0	0.096563574
ENSCAFG00000000090	0.794442283	0.448264301	0	0.059949892	0.132408377	0	0	0.018780284	0.383181818	0.405055955	0
ENSCAFG00000000093	1.021959766	2.032483372	2.597913914	1.479281271	2.36017238	5.113738715	3.970178002	12.52020178	4.275106952	0.344415686	2.521930291
ENSCAFG00000000094	9.173466042	7.689034354	22.04723312	24.41108483	79.99152302	16.51391724	23.6763998	25.7415819	88.24076203	23.31214848	55.76476671
ENSCAFG00000000096	0.046963788	0	0	0.087357513	0	0.122902584	0.110957552	0.04695071	0.120213904	0.143604972	0
ENSCAFG00000000097	1.782865577	0.851964913	84.45486097	34.43328277	23.04023733	14.36367497	47.42140836	1.123637342	12.1115508	2.84116884	28.87517542
ENSCAFG00000000098	0	0	0.023127572	0	0	0.00519889	0	0.009390142	0	0	0
ENSCAFG00000000099	0	0	0.196584362	0	0	0	0	0	0.7025	0	0.360126354
ENSCAFG00000000100	55.79767621	61.55791464	54.77799811	61.85388869	229.681969	66.29401169	60.41541366	40.71806493	1949.681684	139.8534649	89.32132327
ENSCAFG00000000101	0.145041139	0.16810843	0.020252252	0.008808777	0	0	0.059790547	0.00685784	0	0	0.020288809
ENSCAFG00000000102	32.77925724	38.98454333	44.52579546	38.61113072	70.51016719	31.71279439	58.55957074	42.7580518	167.337754	61.27537911	60.35800309
ENSCAFG00000000103	24.86918476	18.56025889	23.965884	15.68243077	1.337754865	19.34125031	31.60785974	36.6466019	14.37307487	12.03817047	10.88109376
ENSCAFG00000000105	2.723115987	2.967221399	6.61595451	6.015801647	2.198756298	5.801315162	11.25565085	5.520140222	4.684585561	9.153484372	8.651242138
ENSCAFG00000000107	0.092246231	0.137371318	0.200991102	0.06741225	0.107495061	0.070298707	0.604704058	0.140797703	0.030053476	0.574687902	0.050233975
ENSCAFG00000000108	10.77254251	8.925851387	13.00060205	16.67798236	20.08568458	29.88151384	56.57257891	17.01004748	33.8665107	18.95016854	16.45286427
ENSCAFG00000000109	40.96864402	37.61236281	20.26872283	16.72784552	15.5016344	27.8717708	21.57984226	25.71219402	16.67216578	23.36296163	21.47136384
ENSCAFG00000000110	78.45660215	92.4456887	6.163216661	6.549440122	9.433125309	17.04594042	4.854830883	20.10854799	18.99755348	2.233326822	7.187571923
ENSCAFG00000000111	20.54050138	26.0816134	15.23941352	14.12654052	8.342699299	16.38089594	22.99923754	16.24751237	23.42668449	14.10947888	13.72093435
ENSCAFG00000000113	5.224944176	5.831903457	4.590573017	5.320227719	1.315756199	2.306291649	3.69394723	5.065826933	2.103743316	3.105141124	4.82436147
ENSCAFG00000000115	60.65792256	64.12197582	79.21671594	86.60561762	40.76706806	37.63370469	193.8864182	68.45888197	124.3763102	40.99973082	164.1401573
ENSCAFG00000000116	16.49578782	24.37019263	29.68692648	41.38238123	13.19094167	23.36413686	18.33153073	11.08804756	12.70510695	17.84374419	32.13391715
ENSCAFG00000000118	57.87029918	74.40908808	74.21084674	93.02057555	424.7999388	96.18481222	87.85354699	93.72968202	552.1161631	79.6110748	101.9506883
ENSCAFG00000000119	5.203756548	4.06195732	4.325168502	2.778621583	6.0566423	3.71976956	3.02118434	3.562415924	1.904639037	4.920964307	3.073109593
ENSCAFG00000000120	0.381943341	0.619978448	0	0	0	0	0.034508772	0.253691387	0.447045455	0.204820972	0.142021661
ENSCAFG00000000121	7.436314967	7.408016651	12.01211712	12.21480761	33.60723081	18.33225224	16.37318834	12.56462878	27.07442513	13.2458737	18.47412812
ENSCAFG00000000122	0.107515659	0.110393656	0.028909465	0.044043887	11.20918799	0.2448026	0.034508772	0.273683395	0.44328877	0.278712962	0.074618892
ENSCAFG00000000123	0.288400933	0.391900506	76.61570793	6.373903552	17.61538008	5.903685749	6.024532741	2.148689652	29.8205615	2.050234701	114.6460269
